employee_id,department,role_level,tenure_months,recognition_events_received,recognition_events_given,reward_type,monthly_recognition_frequency,avg_reward_value,peer_vs_manager_ratio,engagement_score,satisfaction_survey,absenteeism_days,is_disengaged
EMP-00680,Customer Support,Junior,25,1,1,Badge,0.08,6.62,0.61,6.4,5.0,2,0
EMP-00681,Operations,Junior,41,7,0,Badge,0.58,8.07,0.48,7.7,4.1,8,0
EMP-00682,Engineering,Senior,56,11,3,Points,0.92,29.38,0.81,8.6,5.0,3,0
EMP-00683,Engineering,Junior,6,4,1,Points,0.33,27.16,0.77,6.4,3.0,1,0
EMP-00684,Marketing,Mid,32,7,4,Points,0.58,40.23,0.66,7.1,5.0,4,0
EMP-00685,Customer Support,Mid,23,8,1,PTO,0.67,153.98,0.79,6.3,4.2,1,0
EMP-00686,Marketing,Mid,38,8,3,Monetary,0.67,38.76,0.56,7.1,4.7,4,0
EMP-00687,Marketing,Mid,33,6,3,Badge,0.5,6.31,0.41,6.6,4.3,2,0
EMP-00688,Engineering,Junior,5,4,1,Badge,0.33,0.35,0.47,4.9,4.5,3,0
EMP-00689,Operations,Junior,10,3,3,Badge,0.25,5.99,0.96,5.7,3.7,7,0
EMP-00690,Engineering,Junior,1,3,1,Points,0.25,27.98,0.81,7.3,4.3,7,0
EMP-00691,Sales,Mid,23,4,2,Monetary,0.33,78.39,0.61,6.0,4.5,5,0
EMP-00692,Sales,Senior,45,13,6,Badge,1.08,3.45,0.61,7.0,5.0,3,0
EMP-00693,Sales,Junior,8,5,1,Points,0.42,25.47,0.62,6.0,3.7,10,0
EMP-00694,Engineering,Junior,20,5,2,Badge,0.42,4.91,0.65,7.0,3.8,3,0
EMP-00695,Engineering,Mid,31,4,4,Badge,0.33,4.24,0.48,8.0,4.4,4,0
EMP-00696,Marketing,Mid,9,2,3,Monetary,0.17,93.63,0.37,4.2,3.5,7,0
EMP-00697,Sales,Manager,54,11,2,Points,0.92,19.58,0.84,8.8,5.0,6,0
EMP-00698,Marketing,Mid,26,3,1,Points,0.25,34.14,0.4,6.6,3.6,4,0
EMP-00699,Engineering,Mid,18,4,3,Points,0.33,23.42,0.65,7.8,4.5,4,0
EMP-00700,Sales,Mid,30,5,1,PTO,0.42,129.41,0.84,8.0,4.1,3,0
EMP-00701,Marketing,Manager,52,11,9,Points,0.92,45.62,0.87,7.5,4.7,3,0
EMP-00702,Engineering,Senior,49,10,4,PTO,0.83,95.45,0.47,8.4,4.7,4,0
EMP-00703,Sales,Mid,31,10,2,Points,0.83,11.54,0.77,7.5,4.3,7,0
EMP-00704,Engineering,Junior,10,3,1,Monetary,0.25,160.92,0.6,6.3,3.5,7,0
EMP-00705,Engineering,Junior,1,3,0,Badge,0.25,1.16,0.27,4.5,3.2,3,0
EMP-00706,Customer Support,Mid,16,7,3,Badge,0.58,2.71,0.63,7.8,4.0,4,0
EMP-00707,Sales,Senior,66,10,5,Monetary,0.83,86.4,0.5,6.5,4.6,4,0
EMP-00708,Operations,Mid,33,6,3,Points,0.5,17.89,0.3,8.0,4.4,4,0
EMP-00709,Engineering,Junior,15,3,1,Monetary,0.25,153.53,0.69,6.5,4.8,6,0
EMP-00710,Operations,Senior,52,14,7,Monetary,1.17,59.58,0.83,10.0,5.0,3,0
EMP-00711,Operations,Senior,31,11,3,Badge,0.92,6.9,0.74,6.8,4.7,3,0
EMP-00712,Marketing,Junior,13,3,0,Points,0.25,18.13,0.93,6.4,3.1,1,0
EMP-00713,Sales,Senior,56,9,7,Monetary,0.75,174.92,0.94,8.4,5.0,7,0
EMP-00714,Sales,Mid,40,7,3,PTO,0.58,268.98,0.81,7.6,4.2,3,0
EMP-00715,Sales,Manager,85,7,9,Badge,0.58,2.79,0.67,8.6,5.0,3,0
EMP-00716,Customer Support,Senior,65,6,4,Monetary,0.5,129.41,0.55,7.4,3.2,5,0
EMP-00717,Operations,Mid,37,7,2,Badge,0.58,8.11,0.85,6.5,4.3,6,0
EMP-00718,Customer Support,Senior,65,9,2,Badge,0.75,0.73,0.75,7.7,3.9,5,0
EMP-00719,Engineering,Manager,40,9,5,Points,0.75,30.58,0.84,8.4,5.0,4,0
EMP-00720,Operations,Mid,8,6,0,Badge,0.5,9.76,0.7,7.8,5.0,5,0
EMP-00721,Customer Support,Mid,32,10,1,Points,0.83,21.33,0.6,5.8,3.6,2,0
EMP-00722,Engineering,Senior,49,6,5,Monetary,0.5,152.45,0.5,8.2,5.0,3,0
EMP-00723,Engineering,Junior,14,5,2,PTO,0.42,249.06,0.15,7.9,3.2,4,0
EMP-00724,Operations,Mid,23,6,2,Monetary,0.5,155.1,0.26,8.1,4.6,3,0
EMP-00725,Marketing,Senior,20,3,4,Points,0.25,47.73,0.47,6.8,3.1,7,0
EMP-00726,Operations,Senior,30,6,4,Monetary,0.5,159.31,0.61,6.8,4.2,5,0
EMP-00727,Engineering,Mid,17,7,2,Badge,0.58,9.33,0.64,7.1,5.0,1,0
EMP-00728,Operations,Junior,6,2,4,Monetary,0.17,65.42,0.78,6.0,2.8,12,0
EMP-00729,Engineering,Mid,50,5,1,Monetary,0.42,128.48,0.68,7.1,4.1,4,0
EMP-00730,Engineering,Junior,20,2,1,Badge,0.17,3.78,0.32,4.0,4.0,4,0
EMP-00731,Engineering,Junior,4,3,1,Badge,0.25,7.23,0.97,6.1,4.2,4,0
EMP-00732,Operations,Senior,26,8,2,Badge,0.67,1.51,0.8,7.3,5.0,6,0
EMP-00733,Marketing,Junior,2,5,1,Monetary,0.42,56.37,0.66,5.1,4.6,10,0
EMP-00734,Marketing,Mid,47,11,4,Monetary,0.92,47.8,0.27,6.3,3.5,8,0
EMP-00735,Sales,Mid,46,7,4,Badge,0.58,2.69,0.67,5.8,3.6,3,0
EMP-00736,Customer Support,Manager,61,4,9,Points,0.33,13.39,0.26,6.5,4.2,4,0
EMP-00737,Sales,Mid,46,6,4,Points,0.5,39.84,0.28,7.4,4.3,4,0
EMP-00738,Operations,Junior,11,1,0,Points,0.08,31.41,0.21,5.0,3.4,4,0
EMP-00739,Sales,Junior,1,3,0,PTO,0.25,142.84,0.89,2.9,2.1,15,1
EMP-00740,Sales,Mid,9,7,3,Badge,0.58,2.05,0.3,6.3,3.7,7,0
EMP-00741,Sales,Mid,24,15,0,Points,1.25,41.14,0.84,9.0,4.9,2,0
EMP-00742,Sales,Mid,30,8,2,Badge,0.67,8.8,0.34,7.3,4.2,6,0
EMP-00743,Operations,Mid,6,3,4,Badge,0.25,8.53,0.41,5.1,3.2,7,0
EMP-00744,Sales,Junior,20,12,2,Points,1.0,46.62,0.79,8.9,4.3,3,0
EMP-00745,Engineering,Mid,37,6,5,Monetary,0.5,166.36,0.47,8.2,5.0,5,0
EMP-00746,Customer Support,Mid,51,5,1,Badge,0.42,6.33,0.95,7.5,4.0,6,0
EMP-00747,Sales,Junior,9,7,1,Badge,0.58,4.3,0.64,6.8,4.4,7,0
EMP-00748,Marketing,Junior,6,10,3,Monetary,0.83,75.81,0.65,6.4,4.4,4,0
EMP-00749,Customer Support,Junior,43,5,2,Points,0.42,5.29,0.56,5.2,2.8,3,0
EMP-00750,Marketing,Junior,9,3,0,Badge,0.25,8.32,0.58,4.7,3.1,4,0
EMP-00751,Engineering,Mid,18,2,2,Badge,0.17,4.36,0.53,6.6,4.8,7,0
EMP-00752,Customer Support,Junior,11,3,2,PTO,0.25,268.05,0.78,5.7,3.3,5,0
EMP-00753,Marketing,Junior,8,1,1,Points,0.08,19.48,0.56,4.9,3.5,6,0
EMP-00754,Sales,Junior,1,5,1,Badge,0.42,3.38,0.49,4.6,3.6,2,0
EMP-00755,Engineering,Manager,46,7,10,Monetary,0.58,28.7,0.38,8.1,4.5,4,0
EMP-00756,Operations,Senior,56,12,5,Badge,1.0,4.85,0.35,9.3,3.4,5,0
EMP-00757,Marketing,Junior,13,6,0,Points,0.5,26.99,0.51,7.5,5.0,5,0
EMP-00758,Marketing,Mid,41,7,0,Monetary,0.58,139.6,0.73,8.0,5.0,2,0
EMP-00759,Customer Support,Junior,1,3,1,Badge,0.25,7.5,0.7,5.8,4.0,6,0
EMP-00760,Operations,Mid,38,7,5,Points,0.58,20.63,0.7,8.4,4.8,4,0
EMP-00761,Engineering,Junior,23,1,1,Badge,0.08,9.27,0.49,6.9,4.1,4,0
EMP-00762,Sales,Senior,45,12,3,Badge,1.0,4.56,0.28,9.0,4.1,2,0
EMP-00763,Engineering,Mid,19,8,1,Points,0.67,30.82,0.52,7.3,4.4,6,0
EMP-00764,Operations,Manager,51,9,5,Points,0.75,31.73,0.96,8.6,3.8,2,0
EMP-00765,Engineering,Junior,7,3,0,Badge,0.25,8.77,0.52,6.4,4.4,2,0
EMP-00766,Marketing,Senior,69,10,1,PTO,0.83,223.24,0.48,9.0,5.0,5,0
EMP-00767,Operations,Senior,30,9,11,Monetary,0.75,86.89,0.74,6.3,4.8,5,0
EMP-00768,Customer Support,Junior,40,0,1,Points,0.0,36.77,0.0,1.5,3.6,19,1
EMP-00769,Sales,Mid,22,8,1,PTO,0.67,273.19,1.0,9.3,4.5,3,0
EMP-00770,Operations,Junior,27,3,1,PTO,0.25,255.53,0.4,7.9,4.8,2,0
EMP-00771,Engineering,Junior,1,5,2,Points,0.42,7.13,0.51,5.1,3.6,8,0
EMP-00772,Operations,Junior,36,6,0,Monetary,0.5,36.57,0.71,7.1,4.1,6,0
EMP-00773,Engineering,Mid,27,7,4,Badge,0.58,6.79,0.31,8.6,4.5,5,0
EMP-00774,Sales,Mid,36,5,4,Badge,0.42,9.81,0.69,7.9,3.8,3,0
EMP-00775,Operations,Manager,63,9,3,Points,0.75,31.97,0.61,9.0,4.3,6,0
EMP-00776,Engineering,Junior,2,5,2,PTO,0.42,158.89,0.66,5.5,4.2,6,0
EMP-00777,Engineering,Manager,59,15,2,Monetary,1.25,126.81,0.73,10.0,4.9,8,0
EMP-00778,Operations,Junior,7,4,1,Points,0.33,25.47,0.59,5.6,4.1,4,0
EMP-00779,Operations,Senior,38,7,1,Badge,0.58,2.14,0.72,6.3,3.6,3,0
EMP-00780,Marketing,Mid,34,15,2,Monetary,1.25,73.93,0.37,7.9,4.4,3,0
EMP-00781,Operations,Junior,20,2,1,Badge,0.17,2.99,0.55,5.8,3.2,3,0
EMP-00782,Marketing,Senior,46,8,5,Badge,0.67,5.99,0.75,8.9,4.8,5,0
EMP-00783,Engineering,Mid,16,7,3,Points,0.58,42.42,0.64,8.1,4.3,4,0
EMP-00784,Sales,Senior,55,12,2,Points,1.0,7.31,0.5,9.2,4.0,7,0
EMP-00785,Engineering,Mid,42,7,2,Points,0.58,28.52,0.35,7.6,4.5,5,0
EMP-00786,Customer Support,Mid,43,5,3,Badge,0.42,5.3,0.65,6.6,3.5,2,0
EMP-00787,Marketing,Mid,40,4,5,Points,0.33,48.24,0.38,6.3,3.6,8,0
EMP-00788,Sales,Senior,45,13,4,Points,1.08,41.81,0.52,7.9,5.0,9,0
EMP-00789,Sales,Junior,2,6,6,Badge,0.5,3.91,0.4,4.8,4.1,4,0
EMP-00790,Customer Support,Senior,45,8,2,Points,0.67,32.44,0.33,6.3,3.6,3,0
EMP-00791,Engineering,Manager,58,7,9,Points,0.58,34.53,0.44,7.6,4.7,1,0
EMP-00792,Marketing,Junior,19,4,1,Points,0.33,35.15,0.38,7.2,4.7,4,0
EMP-00793,Sales,Junior,11,5,1,PTO,0.42,277.04,0.93,7.3,4.0,5,0
EMP-00794,Marketing,Senior,33,9,8,Points,0.75,31.13,0.09,7.1,4.2,4,0
EMP-00795,Engineering,Mid,23,6,3,Monetary,0.5,63.39,0.88,6.9,3.4,3,0
EMP-00796,Customer Support,Mid,7,6,3,Badge,0.5,6.43,0.71,4.1,2.6,18,0
EMP-00797,Customer Support,Junior,3,2,3,PTO,0.17,108.84,0.5,6.6,3.3,5,0
EMP-00798,Marketing,Mid,25,5,2,Monetary,0.42,45.38,0.36,7.5,3.8,6,0
EMP-00799,Operations,Junior,25,1,3,Badge,0.08,6.09,0.39,5.8,3.7,2,0
EMP-00800,Customer Support,Mid,54,5,4,Points,0.42,17.67,0.81,6.2,3.3,2,0
EMP-00801,Operations,Senior,49,9,2,Points,0.75,33.28,0.93,8.5,4.8,2,0
EMP-00802,Engineering,Junior,1,5,1,Points,0.42,41.92,0.34,5.7,4.3,7,0
EMP-00803,Marketing,Mid,25,7,4,Badge,0.58,1.46,0.72,6.4,4.7,2,0
EMP-00804,Marketing,Manager,19,10,9,Monetary,0.83,35.34,0.57,6.9,4.0,5,0
EMP-00805,Sales,Senior,44,11,3,Monetary,0.92,39.81,1.0,7.8,4.7,5,0
EMP-00806,Operations,Senior,45,8,5,Points,0.67,48.55,0.55,7.4,4.8,4,0
EMP-00807,Customer Support,Mid,26,6,2,Points,0.5,9.01,0.69,8.0,4.1,5,0
EMP-00808,Customer Support,Senior,37,4,3,PTO,0.33,280.9,0.59,5.2,3.4,5,0
EMP-00809,Sales,Junior,38,13,3,Points,1.08,48.89,0.77,7.9,4.1,2,0
EMP-00810,Engineering,Junior,1,5,2,Badge,0.42,0.71,0.57,5.0,2.8,8,0
EMP-00811,Customer Support,Junior,12,1,1,PTO,0.08,184.22,0.5,6.5,3.5,3,0
EMP-00812,Operations,Mid,12,7,3,Points,0.58,36.42,0.65,8.3,4.3,4,0
EMP-00813,Engineering,Senior,46,10,7,PTO,0.83,59.27,0.46,6.7,4.3,3,0
EMP-00814,Customer Support,Mid,33,4,3,Points,0.33,28.29,0.76,6.8,3.5,2,0
EMP-00815,Customer Support,Senior,45,10,2,Points,0.83,23.93,0.57,6.8,4.6,4,0
EMP-00816,Sales,Senior,51,7,4,Monetary,0.58,113.92,0.76,8.6,4.7,0,0
EMP-00817,Marketing,Mid,40,6,1,Points,0.5,29.66,0.38,7.4,4.0,3,0
EMP-00818,Sales,Mid,40,4,4,Monetary,0.33,150.27,0.73,5.9,4.3,3,0
EMP-00819,Engineering,Mid,42,6,4,Monetary,0.5,46.78,0.41,7.3,4.3,2,0
EMP-00820,Sales,Mid,44,9,2,PTO,0.75,298.34,0.29,7.2,5.0,2,0
EMP-00821,Operations,Junior,13,2,2,Badge,0.17,2.78,0.86,5.5,2.7,9,0
EMP-00822,Engineering,Manager,68,12,8,Points,1.0,49.09,0.63,9.5,5.0,2,0
EMP-00823,Sales,Junior,9,6,1,Badge,0.5,6.86,0.72,7.8,4.3,8,0
EMP-00824,Sales,Junior,3,7,1,Points,0.58,35.76,0.6,4.4,3.4,5,0
EMP-00825,Marketing,Manager,56,9,11,PTO,0.75,280.48,0.77,9.1,5.0,2,0
EMP-00826,Customer Support,Mid,53,6,4,Points,0.5,44.87,0.61,7.7,4.4,1,0
EMP-00827,Sales,Senior,62,19,3,Points,1.58,15.22,0.65,9.7,5.0,8,0
EMP-00828,Sales,Mid,21,8,2,Monetary,0.67,146.94,0.45,5.2,4.6,9,0
EMP-00829,Operations,Mid,35,9,5,Badge,0.75,5.05,0.49,7.2,3.0,4,0
EMP-00830,Sales,Junior,2,5,0,Points,0.42,27.16,0.29,4.8,4.5,11,0
EMP-00831,Engineering,Mid,32,3,0,Badge,0.25,0.15,0.95,4.8,4.1,2,0
EMP-00832,Sales,Mid,12,11,2,Badge,0.92,5.26,0.85,7.5,3.9,2,0
EMP-00833,Engineering,Senior,59,6,6,Points,0.5,9.3,0.29,8.6,4.4,2,0
EMP-00834,Engineering,Mid,45,10,1,Monetary,0.83,72.05,0.7,7.9,5.0,2,0
EMP-00835,Sales,Manager,70,16,6,Points,1.33,5.48,0.46,8.5,4.9,5,0
EMP-00836,Sales,Junior,5,6,1,Badge,0.5,4.01,0.79,7.0,4.6,5,0
EMP-00837,Customer Support,Mid,15,5,0,PTO,0.42,281.33,0.92,7.1,4.4,7,0
EMP-00838,Sales,Mid,16,6,8,Points,0.5,41.09,0.22,5.6,3.9,8,0
EMP-00839,Marketing,Manager,59,12,4,Monetary,1.0,35.06,0.44,7.9,4.0,7,0
EMP-00840,Marketing,Junior,9,4,3,Monetary,0.33,149.74,0.19,6.1,4.8,5,0
EMP-00841,Engineering,Mid,19,6,2,Points,0.5,37.74,0.55,6.7,4.1,5,0
EMP-00842,Marketing,Senior,44,8,3,Badge,0.67,7.78,0.4,7.2,4.0,3,0
EMP-00843,Engineering,Junior,4,0,0,Badge,0.0,6.57,0.0,2.1,3.5,15,1
EMP-00844,Customer Support,Manager,46,12,7,Points,1.0,7.99,0.55,8.9,3.8,7,0
EMP-00845,Engineering,Junior,9,4,2,Badge,0.33,6.53,0.75,5.5,4.7,4,0
EMP-00846,Sales,Senior,68,10,5,Points,0.83,14.68,0.29,7.3,3.5,5,0
EMP-00847,Engineering,Manager,78,11,6,Points,0.92,31.7,0.69,9.0,5.0,2,0
EMP-00848,Customer Support,Senior,52,11,2,Points,0.92,35.54,0.94,7.2,4.0,3,0
EMP-00849,Sales,Mid,25,7,1,Badge,0.58,1.06,1.0,9.5,5.0,6,0
EMP-00850,Marketing,Junior,13,1,1,Badge,0.08,4.67,0.56,5.3,3.5,3,0
EMP-00851,Engineering,Manager,57,15,10,PTO,1.25,108.28,0.84,10.0,5.0,2,0
EMP-00852,Operations,Mid,43,7,3,PTO,0.58,251.86,0.1,7.1,5.0,5,0
EMP-00853,Engineering,Junior,26,1,1,Points,0.08,46.91,0.86,6.2,4.0,4,0
EMP-00854,Customer Support,Senior,45,4,6,Badge,0.33,5.16,0.55,6.3,3.8,5,0
EMP-00855,Engineering,Mid,45,8,4,Badge,0.67,5.55,0.69,9.2,4.7,1,0
EMP-00856,Engineering,Junior,5,6,1,PTO,0.5,69.79,0.65,6.4,3.5,4,0
EMP-00857,Engineering,Junior,32,8,1,Points,0.67,22.52,0.54,5.3,3.9,3,0
EMP-00858,Sales,Junior,15,4,0,Points,0.33,11.52,0.7,6.3,3.0,6,0
EMP-00859,Marketing,Mid,17,9,1,Points,0.75,36.7,0.64,6.7,3.5,5,0
EMP-00860,Engineering,Mid,33,6,3,Monetary,0.5,192.84,0.39,5.1,3.4,5,0
EMP-00861,Operations,Mid,21,12,3,Points,1.0,41.31,0.37,7.0,2.9,4,0
EMP-00862,Sales,Senior,43,14,4,PTO,1.17,147.02,0.5,10.0,4.6,4,0
EMP-00863,Marketing,Senior,64,5,9,Badge,0.42,6.64,0.88,8.6,4.5,6,0
EMP-00864,Sales,Mid,42,10,7,Points,0.83,49.89,0.77,6.8,3.4,4,0
EMP-00865,Sales,Junior,4,2,1,Points,0.17,6.83,0.79,5.6,3.3,5,0
EMP-00866,Marketing,Senior,43,12,3,PTO,1.0,119.52,0.67,9.7,4.9,7,0
EMP-00867,Engineering,Mid,3,4,2,Monetary,0.33,38.85,0.94,6.3,3.9,5,0
EMP-00868,Engineering,Mid,41,7,4,Points,0.58,33.71,0.73,6.7,4.0,5,0
EMP-00869,Customer Support,Mid,23,6,2,PTO,0.5,260.52,0.76,7.4,3.8,3,0
EMP-00870,Customer Support,Mid,38,3,0,Badge,0.25,3.64,0.95,6.3,3.7,1,0
EMP-00871,Sales,Manager,79,12,6,PTO,1.0,148.5,0.6,8.1,4.8,3,0
EMP-00872,Engineering,Junior,4,7,1,PTO,0.58,123.51,0.7,7.1,4.6,8,0
EMP-00873,Marketing,Senior,12,7,3,Badge,0.58,5.63,0.48,7.0,3.0,6,0
EMP-00874,Sales,Junior,4,5,2,Points,0.42,10.69,0.89,6.9,5.0,7,0
EMP-00875,Engineering,Manager,75,9,8,Badge,0.75,1.88,0.51,8.9,5.0,8,0
EMP-00876,Engineering,Junior,22,2,1,Badge,0.17,0.81,0.14,5.4,3.6,1,0
EMP-00877,Operations,Junior,7,2,0,Points,0.17,11.45,0.77,4.7,4.8,6,0
EMP-00878,Marketing,Mid,34,11,6,Points,0.92,42.97,0.4,6.3,4.3,5,0
EMP-00879,Engineering,Mid,66,10,1,Badge,0.83,1.8,0.31,7.6,5.0,5,0
EMP-00880,Engineering,Junior,8,2,1,Points,0.17,26.75,0.27,6.4,3.7,7,0
EMP-00881,Engineering,Mid,39,6,2,Badge,0.5,6.99,0.49,7.2,5.0,2,0
EMP-00882,Marketing,Mid,17,8,4,Monetary,0.67,58.01,0.62,7.6,5.0,2,0
EMP-00883,Engineering,Junior,1,4,3,Points,0.33,25.21,0.8,6.3,3.9,4,0
EMP-00884,Engineering,Mid,54,7,1,Monetary,0.58,62.49,0.5,7.1,3.7,5,0
EMP-00885,Operations,Senior,77,11,8,Badge,0.92,9.15,0.57,7.2,4.2,5,0
EMP-00886,Engineering,Senior,48,10,3,Points,0.83,6.65,0.38,5.5,3.1,5,0
EMP-00887,Marketing,Senior,61,14,3,PTO,1.17,196.73,0.33,8.2,4.1,4,0
EMP-00888,Engineering,Senior,51,12,3,Badge,1.0,8.81,0.73,8.6,4.9,9,0
EMP-00889,Engineering,Mid,14,5,3,Points,0.42,40.37,0.58,7.5,3.6,6,0
EMP-00890,Engineering,Junior,1,4,2,Badge,0.33,2.33,0.76,5.5,4.0,4,0
EMP-00891,Operations,Junior,2,7,2,Points,0.58,29.18,0.68,6.5,5.0,4,0
EMP-00892,Operations,Senior,48,8,3,Badge,0.67,0.62,0.58,6.7,4.4,6,0
EMP-00893,Operations,Manager,50,12,6,Badge,1.0,2.79,0.35,8.4,3.1,5,0
EMP-00894,Sales,Mid,29,4,4,Badge,0.33,3.85,0.64,7.2,5.0,7,0
EMP-00895,Marketing,Junior,32,1,1,Badge,0.08,0.75,0.33,5.4,3.8,0,0
EMP-00896,Engineering,Junior,15,4,0,Points,0.33,12.53,0.22,7.1,3.5,1,0
EMP-00897,Sales,Mid,18,9,3,Points,0.75,42.95,0.47,7.1,4.2,6,0
EMP-00898,Customer Support,Mid,39,4,2,Points,0.33,26.04,0.41,5.8,2.9,4,0
EMP-00899,Engineering,Junior,1,3,2,Monetary,0.25,189.9,0.91,5.4,4.5,11,0
EMP-00900,Engineering,Manager,65,10,12,Points,0.83,12.04,0.37,9.5,5.0,4,0
EMP-00901,Engineering,Mid,33,6,0,Badge,0.5,6.7,0.66,6.8,3.8,4,0
EMP-00902,Engineering,Manager,83,12,6,Points,1.0,39.38,0.41,10.0,5.0,2,0
EMP-00903,Engineering,Senior,57,15,3,Points,1.25,39.92,0.69,9.8,4.2,3,0
EMP-00904,Marketing,Senior,48,6,2,PTO,0.5,240.18,0.72,9.2,4.7,2,0
EMP-00905,Sales,Mid,38,8,0,Badge,0.67,1.68,0.71,7.9,4.1,5,0
EMP-00906,Customer Support,Mid,36,6,3,Monetary,0.5,103.16,0.81,7.0,4.2,6,0
EMP-00907,Operations,Mid,40,5,2,Badge,0.42,8.91,0.65,8.2,3.9,4,0
EMP-00908,Sales,Mid,3,5,1,Badge,0.42,5.7,0.74,6.0,3.1,6,0
EMP-00909,Engineering,Mid,8,4,5,Points,0.33,21.81,0.4,7.8,4.6,4,0
EMP-00910,Sales,Manager,78,10,4,Badge,0.83,0.14,0.69,9.4,5.0,4,0
EMP-00911,Marketing,Senior,23,7,7,PTO,0.58,201.96,0.43,7.0,4.0,2,0
EMP-00912,Engineering,Senior,54,10,7,Points,0.83,45.25,0.62,8.7,4.3,3,0
EMP-00913,Marketing,Manager,53,8,7,Points,0.67,14.17,0.74,8.5,5.0,3,0
EMP-00914,Sales,Junior,16,9,2,Badge,0.75,9.95,0.5,6.0,3.7,2,0
EMP-00915,Marketing,Junior,29,6,2,Monetary,0.5,61.83,0.27,6.2,5.0,7,0
EMP-00916,Sales,Mid,16,5,0,Badge,0.42,5.7,0.69,6.2,4.8,7,0
EMP-00917,Sales,Mid,59,6,3,Badge,0.5,4.8,0.6,8.4,4.9,2,0
EMP-00918,Customer Support,Senior,38,10,6,Points,0.83,39.67,0.62,8.1,3.7,2,0
EMP-00919,Operations,Mid,50,6,0,Badge,0.5,4.89,0.42,6.9,3.1,2,0
EMP-00920,Engineering,Mid,34,6,4,Badge,0.5,3.36,0.89,8.0,3.1,7,0
EMP-00921,Customer Support,Mid,20,5,3,Points,0.42,48.17,0.73,5.7,3.3,4,0
EMP-00922,Sales,Junior,9,7,2,Monetary,0.58,124.46,0.68,5.2,3.5,11,0
EMP-00923,Customer Support,Mid,41,4,3,PTO,0.33,61.03,0.43,7.2,3.4,7,0
EMP-00924,Operations,Senior,50,14,4,Points,1.17,24.93,0.75,9.1,4.5,5,0
EMP-00925,Sales,Junior,4,6,0,Badge,0.5,5.02,1.0,7.0,3.9,8,0
EMP-00926,Engineering,Mid,30,5,6,Points,0.42,6.52,0.66,9.1,4.8,8,0
EMP-00927,Engineering,Mid,18,4,1,Badge,0.33,6.83,0.56,6.9,4.0,4,0
EMP-00928,Marketing,Junior,4,4,3,Monetary,0.33,109.57,0.42,4.7,3.7,4,0
EMP-00929,Marketing,Junior,1,6,0,Points,0.5,10.11,0.54,4.9,3.7,9,0
EMP-00930,Engineering,Manager,73,10,7,Badge,0.83,3.36,0.87,8.5,4.5,3,0
EMP-00931,Engineering,Mid,33,3,2,Monetary,0.25,112.62,0.81,8.3,4.3,6,0
EMP-00932,Operations,Junior,12,4,2,Points,0.33,44.26,0.49,7.1,4.0,4,0
EMP-00933,Customer Support,Junior,5,2,2,Points,0.17,25.76,0.88,5.9,4.0,6,0
EMP-00934,Marketing,Senior,52,9,1,Points,0.75,45.67,0.2,7.7,5.0,9,0
EMP-00935,Engineering,Mid,31,5,5,Points,0.42,39.05,0.33,6.2,4.0,7,0
EMP-00936,Engineering,Mid,27,6,2,Badge,0.5,6.46,0.71,9.3,4.0,5,0
EMP-00937,Engineering,Junior,15,1,2,Points,0.08,33.01,0.84,5.7,2.6,10,0
EMP-00938,Customer Support,Manager,64,5,7,Points,0.42,37.82,0.92,6.3,2.9,10,0
EMP-00939,Engineering,Mid,35,8,4,Points,0.67,24.95,0.37,8.4,5.0,2,0
EMP-00940,Marketing,Mid,37,6,3,Monetary,0.5,98.91,0.8,7.6,4.4,2,0
EMP-00941,Engineering,Mid,39,5,0,Points,0.42,14.84,0.74,7.8,4.3,1,0
EMP-00942,Marketing,Mid,15,11,4,PTO,0.92,189.54,0.38,6.9,4.8,4,0
EMP-00943,Marketing,Senior,78,8,5,Points,0.67,36.24,0.27,7.1,4.4,4,0
EMP-00944,Operations,Manager,64,8,9,Points,0.67,16.95,0.78,8.1,5.0,7,0
EMP-00945,Engineering,Mid,40,10,3,Badge,0.83,2.31,0.5,8.1,5.0,4,0
EMP-00946,Engineering,Senior,35,4,4,Badge,0.33,1.86,0.78,9.3,4.0,4,0
EMP-00947,Engineering,Senior,45,8,7,Monetary,0.67,35.53,0.67,8.6,4.4,4,0
EMP-00948,Customer Support,Manager,66,11,9,Monetary,0.92,185.26,0.72,8.6,4.4,8,0
EMP-00949,Customer Support,Junior,3,1,2,Points,0.08,45.91,0.32,5.5,3.0,3,0
EMP-00950,Marketing,Mid,4,6,0,Points,0.5,11.87,0.87,5.7,4.6,4,0
EMP-00951,Marketing,Junior,3,4,1,Points,0.33,41.74,0.63,4.7,3.9,9,0
EMP-00952,Marketing,Senior,27,8,4,Badge,0.67,3.97,0.82,8.2,5.0,7,0
EMP-00953,Engineering,Junior,19,5,0,Points,0.42,30.89,0.76,8.0,4.4,4,0
EMP-00954,Customer Support,Mid,31,6,1,Badge,0.5,5.41,0.91,6.6,4.6,6,0
EMP-00955,Sales,Mid,67,8,2,Monetary,0.67,146.86,0.24,6.8,3.2,4,0
EMP-00956,Sales,Mid,22,5,1,Points,0.42,32.29,1.0,7.1,4.0,4,0
EMP-00957,Sales,Mid,23,15,4,Badge,1.25,2.59,0.42,9.7,4.7,3,0
EMP-00958,Engineering,Senior,34,13,2,PTO,1.08,144.92,0.5,8.9,4.4,3,0
EMP-00959,Engineering,Mid,47,5,2,Monetary,0.42,88.59,0.54,7.4,5.0,8,0
